track,artist,danceability,energy,speechiness,valence
Hotarunohikari,Ikimonogakari,0.566,0.919,0.0639,0.55
Used To Love U,John Legend,0.661,0.796,0.0833,0.657
Rush,Aly & AJ,0.548,0.815,0.0409,0.212
I Remember,Keyshia Cole,0.422,0.736,0.049,0.303
Feeling Good - No Apologize Radio Edit,DJ Wag,0.71,0.796,0.0554,0.523
We Made It,Busta Rhymes Featuring Linkin Park,0.62,0.746,0.0552,0.191
Almost Home,Craig Morgan,0.525,0.481,0.0251,0.237
Who Let The Dogs Out,Baha Men,0.869,0.887,0.0993,0.784
Pollution Rock,Nordre Sving,0.547,0.683,0.0368,0.888
Ordinary People,John Legend,0.469,0.132,0.0807,0.36
Coming Back Around - Domu Re-Beat Mix,Domu,0.364,0.866,0.139,0.963
Living In Fast Forward,Kenny Chesney,0.689,0.907,0.037,0.912
Königin,Faun,0.602,0.328,0.0249,0.413
How Far,Martina McBride,0.473,0.59,0.0298,0.334
5 Star,Yo Gotti,0.715,0.809,0.205,0.636
Luckiest Man,The Wood Brothers,0.571,0.281,0.0475,0.294
Blow Me,DJ D,0.461,0.93,0.187,0.14
Still Broken,Plan Three,0.51,0.881,0.0354,0.278
Life Ain't Always Beautiful,Gary Allan,0.481,0.508,0.0248,0.268
Kiss A Girl,Keith Urban,0.653,0.786,0.0338,0.477
Open House,Guru,0.744,0.739,0.307,0.678
1000 Estrellas,Charlie 3,0.473,0.722,0.0358,0.549
Another Postcard (Chimps),Barenaked Ladies,0.621,0.747,0.0782,0.726
As Good As I Once Was,Toby Keith,0.68,0.87,0.0393,0.646
Headsprung,LL Cool J,0.718,0.786,0.0284,0.465
Polonaise Brilliante,Nikolai Kapustin,0.387,0.268,0.0348,0.337
Forever Heavy,Black Moth Super Rainbow,0.384,0.735,0.0383,0.276
Treasure,Trevor Rabin,0.064,0.0794,0.0403,0.0356
L.A. Song,Beth Hart,0.351,0.615,0.0451,0.337
Chicks Dig It,Chris Cagle,0.596,0.921,0.0504,0.703
Nin-com-pop - Two Lone Swordsmen - Sampler Version,Lali Puna,0.726,0.294,0.0472,0.185
I Wanna Be Your Dog,Sky Saxon,0.598,0.782,0.0305,0.298
What's Left Of Me,Nick Lachey,0.421,0.728,0.035,0.311
I Learned From The Best,Whitney Houston,0.609,0.563,0.0328,0.306
Broken,Seether Featuring Amy Lee,0.448,0.61,0.0342,0.214
I'd Do Anything,Simple Plan,0.395,0.917,0.133,0.563
Sleepy Silver Door,Dead Meadow,0.365,0.632,0.0303,0.289
People Make The World Go Round (Boris Main Mix),Joi Cardwell,0.792,0.637,0.0743,0.366
God Is Dead,Heart Attack,0.343,0.972,0.079,0.547
Meet Me Halfway,The Black Eyed Peas,0.798,0.629,0.0735,0.4
Deathmask Divine,The Black Dahlia Murder,0.471,0.993,0.191,0.0672
Step Daddy,Hitman Sammy Sam,0.93,0.773,0.0457,0.348
Rock and Roll Marionett,Stein Ingebrigtsen,0.682,0.579,0.0712,0.784
I Miss You,Blink-182,0.664,0.781,0.0339,0.593
Gråt inga tårar mer,Titanix,0.59,0.836,0.0385,0.939
The Saints Are Coming,U2 & Green Day,0.315,0.81,0.0468,0.118
Good Luck,Basement Jaxx,0.577,0.936,0.0915,0.572
Beautiful,Christina Aguilera,0.457,0.573,0.0275,0.0992
The Orange Fox Waits,Robin Spielberg,0.441,0.0712,0.0456,0.157
You Rock My World,Java Gospel,0.662,0.854,0.0434,0.915
Shadow Of The Day,Linkin Park,0.534,0.393,0.0292,0.0641
99.9% Sure (I've Never Been Here Before),Brian McComas,0.606,0.959,0.0522,0.734
Some People Change,Montgomery Gentry,0.55,0.61,0.0388,0.357
Right Where You Want Me,Jesse McCartney,0.72,0.548,0.0291,0.709
Baby It's You,JoJo Featuring Bow Wow,0.858,0.607,0.118,0.821
Help Pour Out The Rain (Lacey's Song),Buddy Jewell,0.565,0.562,0.0339,0.652
Ever The Same,Rob Thomas,0.435,0.729,0.0307,0.524
Bombay Jazz,Carlo Fashion,0.65,0.72,0.161,0.738
Punk Fact Or Faction,Extreme Noise Terror,0.173,0.997,0.195,0.0329
Fun in America,Jayne County,0.359,0.979,0.196,0.256
Sinking,Incendiary,0.209,0.923,0.0598,0.42
Suffocate,J. Holiday,0.458,0.445,0.361,0.447
Echoes of Fashion,Djako,0.71,0.787,0.0365,0.422
I Touch Myself,Jan Wayne,0.636,0.993,0.0508,0.478
Baby Please,Allison,0.628,0.541,0.0246,0.443
If Nobody Believed In You,Joe Nichols,0.679,0.316,0.031,0.273
Are You Gonna Be My Girl,Jet,0.613,0.953,0.0855,0.537
The Worms Will Get In,Jazkamer,0.0775,0.00796,0.0413,0.029
Prelude and Fugue in c-minor op. 37: Fugue,Felix Mendelssohn,0.106,0.0424,0.0365,0.0377
One Thing,Finger Eleven,0.588,0.555,0.0334,0.445
คนไร้ค่า,Stone Metal Fire,0.473,0.464,0.0287,0.25
You Know What It Is,T.I. Featuring Wyclef Jean,0.657,0.853,0.252,0.746
AM To PM,Christina Milian,0.872,0.86,0.131,0.855
The Fear,Lily Allen,0.661,0.847,0.0404,0.522
Fallout (Of Our Being),Nausea,0.308,0.935,0.124,0.171
Come A Little Closer,Dierks Bentley,0.585,0.577,0.0228,0.335
Encarnar no Seu Corpo,Sarcasmo,0.191,0.996,0.159,0.0752
Soul Sista,Bilal,0.598,0.412,0.14,0.431
Blue Aphrodite,Jens Buchert,0.569,0.463,0.0284,0.218
Il trattamento,Cor Veleno,0.803,0.821,0.252,0.763
With Me - Massive Power Mix,Crush 40,0.447,0.874,0.0457,0.64
I Wanna Be With You,Mandy Moore,0.515,0.908,0.0368,0.637
Sunday School,Pretty Lights,0.729,0.746,0.0599,0.562
One More Time,Daft Punk,0.611,0.697,0.133,0.476
Substream,Kyoto Jazz Massive,0.771,0.903,0.0551,0.879
I'm Like A Bird,Nelly Furtado,0.622,0.608,0.036,0.607
Girls Lie Too,Terri Clark,0.499,0.883,0.0451,0.533
Charity,Synapscape,0.645,0.984,0.315,0.0466
Om Namo Narayana Karna Ranjani K.Chappu Ambujam Krishna,Sudha Ragunathan,0.522,0.328,0.0394,0.727
Airport Sadness - 2008 Remaster,Brad Mehldau,0.444,0.0162,0.0452,0.079
Notorious Thugs,Scary Kids Scaring Kids,0.664,0.761,0.07,0.345
Runaway,NB Ridaz Featuring Angelina,0.718,0.671,0.113,0.552
Mouth Of Ghosts,The Dillinger Escape Plan,0.279,0.901,0.0557,0.268
Closet Punk,D.R.I.,0.455,0.988,0.122,0.484
The Sniper At The Gates Of Heaven,The Black Angels,0.311,0.709,0.0331,0.343
Rock de la Carcel,Enrique Guzman,0.592,0.418,0.0585,0.643
Full Metal Swimsuit,Agoraphobic Nosebleed,0.298,0.943,0.18,0.199
"Tricky, Tricky",Lou Bega,0.858,0.947,0.235,0.967
Hall of the Mountain King,Apocalyptica,0.233,0.609,0.0438,0.28
If - Original Mix,Phaeleh,0.712,0.496,0.0602,0.15
The Sprig of Thyme: No. 1. The bold grenadier,John Rutter,0.19,0.0237,0.0397,0.14
Number One,R. Kelly Featuring Keri Hilson,0.65,0.813,0.112,0.576
Wednesday Night Prayer Meeting - Alternative Take,Charles Mingus,0.377,0.453,0.0636,0.607
Not Nineteen Forever,Courteeners,0.402,0.92,0.0408,0.297
Taxidermist,False Prophets,0.137,0.853,0.0972,0.252
Get No Better,Cassidy Featuring Mashonda,0.717,0.597,0.189,0.566
In A Red Dress And Alone,Evans Blue,0.347,0.882,0.0799,0.455
Message Horn's Enchanting Echo,Daemonia Nymphe,0.252,0.111,0.0368,0.23
No More Drama,Mary J. Blige,0.623,0.828,0.212,0.592
Peligroso Pop,Plastilina Mosh,0.713,0.907,0.0336,0.739
Broken,Lifehouse,0.534,0.708,0.0402,0.488
Boy From School,Hot Chip,0.631,0.863,0.0297,0.497
All Hail Shadow,Crush 40,0.308,0.934,0.0824,0.419
I Get Money,50 Cent,0.525,0.933,0.356,0.457
Mr. Carter,Lil Wayne Featuring Jay-Z,0.486,0.71,0.363,0.472
What Kinda Gone,Chris Cagle,0.494,0.861,0.0365,0.668
La valse d'Amélie - Version piano,Yann Tiersen,0.194,0.179,0.0413,0.179
Tattoos Fade,World / Inferno Friendship Society,0.293,0.877,0.0707,0.584
Why I Love You,B2K,0.698,0.618,0.0282,0.37
Kingdom Business,Canton Jones,0.648,0.776,0.252,0.446
I Look To You,Whitney Houston,0.55,0.373,0.0286,0.101
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,0.586,0.927,0.194,0.528
My Band,D12,0.848,0.854,0.0845,0.876
Aaj Mausam Bada Be-Iman Hai,Mohammed Rafi,0.336,0.449,0.0367,0.547
And Here We Test Our Powers Of Observation,The Bad Plus,0.367,0.833,0.0322,0.491
All The Right Moves,OneRepublic,0.529,0.948,0.0474,0.65
Girls Around The World,Lloyd Featuring Lil Wayne,0.727,0.83,0.125,0.59
Jazz,Pretty Balanced,0.374,0.344,0.0341,0.0386
Hush Hush,The Pussycat Dolls Featuring Nicole Scherzinger,0.613,0.778,0.0689,0.626
Walking with a Ghost,Tegan and Sara,0.788,0.541,0.0387,0.928
G'd Up,Snoop Dogg Presents Tha Eastsidaz,0.908,0.763,0.28,0.593
Whore to a Chainsaw,Thy Art Is Murder,0.295,0.967,0.169,0.254
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,0.646,0.6,0.458,0.811
The Ravenous Beast,Destruction,0.419,0.988,0.111,0.378
Bad Habits,Maxwell,0.661,0.67,0.258,0.661
Nude,Radiohead,0.537,0.342,0.0338,0.156
The Curly Shuffle,Jump 'N' The Saddle Band,0.632,0.484,0.104,0.873
Heaven,Los Lonely Boys,0.664,0.862,0.0679,0.782
I Want You,Janet Jackson,0.643,0.843,0.0384,0.666
Steam,Ty Herndon,0.676,0.738,0.0262,0.697
Proper Rock,The Chap,0.509,0.59,0.0891,0.624
Right Thurr,Chingy,0.866,0.749,0.253,0.891
Eppo Varuvaro - Johnpuri - Adi,Neyyattinkara Vasudevan,0.435,0.806,0.0819,0.596
Take Your Time (Coming Home),fun.,0.436,0.746,0.0843,0.301
Why Can't I?,Liz Phair,0.487,0.759,0.0405,0.227
"7 Songs on Chinese Poems, Op. 71 No. 4: Traveling Song",Alexander Tcherepnin,0.585,0.123,0.0711,0.969
Here We Go Again,Demi Lovato,0.585,0.927,0.04,0.672
Goodbye,Jagged Edge,0.821,0.727,0.105,0.971
Too Bad,Nickelback,0.598,0.808,0.0388,0.288
Take You There,Sean Kingston,0.752,0.921,0.0696,0.634
"Symphony No. 8 in B Minor, D. 759, ""Unfinished"": I. Allegro moderato",Franz Schubert,0.128,0.045,0.0385,0.0395
Holly Park,Brandtson,0.244,0.67,0.0286,0.502
Female Buddha Taras Mantra - Tibetan Chant plus Urban Groove,Lama Surya Das & Steven Halpern,0.603,0.253,0.0282,0.0999
A Child Is Born,Jon Kennedy,0.676,0.73,0.0296,0.664
Death Defying Years,Half the World,0.454,0.911,0.0794,0.445
Anphisbena,Opera IX,0.075,0.858,0.0651,0.31
Feels Just Like It Should,Pat Green,0.658,0.742,0.0319,0.698
Sexual (Li Da Di),Amber,0.623,0.898,0.0309,0.786
Tequila Makes Her Clothes Fall Off,Joe Nichols,0.664,0.706,0.027,0.681
Again,Faith Evans,0.489,0.763,0.24,0.362
Underneath It All,No Doubt Featuring Lady Saw,0.729,0.731,0.0682,0.838
Maria Rosario,Los Amantes De Lola,0.723,0.65,0.0419,0.966
Hellraiser - VNV Nation Remix,Suicide Commando,0.524,0.894,0.0328,0.212
On Fire,Lil Wayne,0.626,0.866,0.0408,0.545
The Boss,Rick Ross Featuring T-Pain,0.431,0.842,0.357,0.61
Days Go By,Dirty Vegas,0.786,0.853,0.0688,0.309
Green Light,John Legend Featuring Andre 3000,0.622,0.882,0.119,0.762
Improvisation 10,Joe Mcphee,0.393,0.0523,0.0452,0.0853
Rosa de Metal,Red Wine,0.404,0.958,0.0683,0.328
Me And The Bean,Spoon,0.665,0.646,0.0394,0.962
American Saturday Night,Brad Paisley,0.487,0.938,0.0533,0.733
I Need To Know,Marc Anthony,0.813,0.949,0.0336,0.792
PCP Rock,Friends Forever,0.137,0.839,0.0601,0.132
Feel you (I Love Trance Mix),Marc Et Claude,0.656,0.847,0.0375,0.43
Metal Army March,Witchtrap,0.469,0.894,0.0843,0.326
Because Of You,Ne-Yo,0.81,0.538,0.0356,0.828
Drive (For Daddy Gene),Alan Jackson,0.709,0.61,0.0434,0.475
Watching Airplanes,Gary Allan,0.374,0.711,0.0354,0.468
Techno Dup,Marc Smith,0.654,0.943,0.0964,0.691
Numb,Linkin Park,0.496,0.863,0.0381,0.243
"Swing, Swing",The All-American Rejects,0.553,0.717,0.0318,0.318
Don't Wait,Dashboard Confessional,0.422,0.836,0.0361,0.165
Love Is Sold,Dj Spinna,0.777,0.635,0.13,0.503
Foolish,Ashanti,0.665,0.696,0.0521,0.711
Not Today,Mary J. Blige Featuring Eve,0.907,0.628,0.0796,0.902
Strange Things Happening Every Day,Sister Rosetta Tharpe,0.724,0.414,0.0711,0.737
Gimmie Love,Collie Buddz,0.648,0.675,0.294,0.631
J'adore Hardcore,Scooter,0.516,0.906,0.051,0.327
Tal Vez,Ricky Martin,0.512,0.615,0.0319,0.193
Top Down,Brian Bromberg,0.448,0.877,0.0458,0.746
How Did You Know?,Mynt Featuring Kim Sozzi,0.698,0.889,0.0409,0.818
Cha-Cha Slide,Mr. C The Slide Man,0.854,0.903,0.147,0.814
Classical Instrumental: Merry Go Round - Raga: Fusion,Kadri Gopalnath,0.722,0.686,0.0398,0.962
Pop 5,GAS,0.159,0.0331,0.071,0.0336
Ora,Ludovico Einaudi,0.231,0.124,0.0557,0.0514
Falling Down,Selena Gomez & The Scene,0.58,0.898,0.0832,0.805
Sex Ed Rocks,I Set My Friends On Fire,0.419,0.918,0.0828,0.395
"I Breathe In, I Breathe Out",Chris Cagle,0.316,0.514,0.0271,0.242
Home,Blake Shelton,0.576,0.455,0.0267,0.206
Only You Can Love Me This Way,Keith Urban,0.566,0.429,0.0286,0.325
We Will Glorify - House Of Worship Album Version,Twila Paris,0.468,0.554,0.0315,0.175
Alright,Darius Rucker,0.601,0.806,0.0345,0.711
Doctor Doctor,Michael Schenker,0.251,0.875,0.0641,0.308
(Do Not Feed The) Oyster,Stephen Malkmus,0.451,0.498,0.0273,0.266
My Love Goes On And On,Chris Cagle,0.577,0.932,0.0593,0.92
Get Drunk And Be Somebody,Toby Keith,0.628,0.896,0.0557,0.666
"Interzone, Pt. 1: Part I: Why don't you have a sode pop",Enno Poppe,0.336,0.545,0.0981,0.265
Show Me What You Got,Blessed By A Broken Heart,0.471,0.934,0.107,0.174
She Couldn't Change Me,Montgomery Gentry,0.67,0.823,0.033,0.787
Megalomania,Therion,0.133,0.745,0.0449,0.246
Thug Lovin',Ja Rule Featuring Bobby Brown,0.769,0.685,0.177,0.771
Rise Of The Pagan Folk,Eliwagar,0.313,0.667,0.0372,0.0391
Starscapes - Ambient,The American Dollar,0.0768,0.235,0.0333,0.0366
"The Breaking of the Fellowship (feat. ""In Dreams"")",Howard Shore,0.131,0.137,0.0387,0.0465
Punk Rock Is Not Dangerous Anymore,Yesterday's Ring,0.682,0.432,0.0347,0.434
Rock Formations,Yawning Man,0.495,0.654,0.0389,0.503
Money To Blow,Birdman Featuring Lil Wayne & Drake,0.708,0.578,0.0631,0.696
The Gold Torques Of Ulàid,Absu,0.209,0.997,0.126,0.29
Thug Holiday,Trick Daddy Featuring LaTocha Scott,0.767,0.654,0.289,0.546
As Your Casket Closes,Ghoul,0.236,0.928,0.043,0.539
Jonchaies,Iannis Xenakis,0.273,0.702,0.281,0.0375
The Big Heavy Metal,Massacration,0.268,0.827,0.0551,0.618
Montego Bay Spleen,St Germain,0.705,0.649,0.0651,0.74
Beautiful Goodbye,Jennifer Hanson,0.623,0.878,0.0372,0.608
Angelfangs,Cobalt,0.163,0.994,0.248,0.0466
Chase,The American Dollar,0.422,0.0689,0.0322,0.0364
The Way You Love Me,Faith Hill,0.627,0.716,0.0352,0.734
Sun,Daphne Loves Derby,0.643,0.554,0.0608,0.617
Money For Fish (And Your Chips For Free),Hellfish,0.666,0.828,0.0788,0.221
These Are The Days,O-Town,0.598,0.627,0.038,0.432
Face Down,The Red Jumpsuit Apparatus,0.545,0.932,0.0399,0.465
"I'll Forgive You For Throwing That Rock, Cos That Dance Was Kinda Funny",TTNG,0.385,0.388,0.0294,0.324
If Today Was Your Last Day,Nickelback,0.485,0.911,0.0355,0.568
Metal Firecracker - WXPN Live At The World Café,Lucinda Williams,0.569,0.702,0.0315,0.543
Metal Postcard - John Peel Session,Siouxsie and the Banshees,0.564,0.836,0.14,0.442
Corporeal,Broadcast,0.631,0.609,0.0509,0.267
Miss Murder,AFI,0.308,0.873,0.0533,0.686
La Tortura,Shakira Featuring Alejandro Sanz,0.74,0.783,0.0427,0.812
Notte D'Amore Con Te,A Touch Of Class,0.774,0.822,0.0512,0.535
You Make Me Sick,P!nk,0.77,0.686,0.168,0.657
Corazón De Metal,Muro,0.539,0.827,0.0411,0.476
Mississippi Girl,Faith Hill,0.499,0.765,0.0521,0.665
Party People,Nelly Featuring Fergie,0.64,0.849,0.357,0.666
Splash Waterfalls,Ludacris,0.728,0.846,0.407,0.702
Holler Back,The Lost Trailers,0.442,0.921,0.0635,0.601
Cloudwalker,Horse The Band,0.303,0.934,0.0767,0.114
Sworn In The Metal Wind,Lost Horizon,0.467,0.975,0.166,0.265
Escape,Enrique Iglesias,0.777,0.852,0.0295,0.877
Just A Baby Boy,Snoop Dogg Featuring Tyrese & Mr. Tan,0.856,0.717,0.209,0.738
Lovebug,Jonas Brothers,0.577,0.495,0.0593,0.522
Everytime We Touch,Cascada,0.635,0.974,0.052,0.495
Un Beso de Desayuno,Calle 13,0.571,0.858,0.143,0.792
I Will Possess Your Heart,Death Cab For Cutie,0.605,0.619,0.0261,0.578
Kids,MGMT,0.451,0.931,0.0719,0.172
La Balada,Cuca,0.672,0.5,0.0322,0.201
Rakata,Wisin & Yandel,0.872,0.786,0.142,0.722
Hot 2Nite,New Edition,0.726,0.799,0.173,0.867
SexyBack,Justin Timberlake,0.967,0.583,0.0789,0.964
Punk Rock Love,The Casualties,0.156,0.999,0.147,0.0899
Knight Of The Wind,Crush 40,0.369,0.89,0.0516,0.582
Aarariraro,K. J. Yesudas,0.764,0.398,0.0457,0.507
Got Your Money,Ol' Dirty Bastard Featuring Kelis,0.934,0.459,0.189,0.697
Whatever You Like,Anya Marina,0.663,0.643,0.0316,0.368
Emotional,Carl Thomas,0.548,0.542,0.0409,0.389
Troublemaker,Akon Featuring Sweet Rush,0.856,0.78,0.105,0.835
The Light,The Album Leaf,0.176,0.123,0.0439,0.0388
White Walls,Between The Buried And Me,0.262,0.975,0.177,0.119
Apocalyptic Havoc,Goatwhore,0.212,0.979,0.145,0.386
(I'm Not Your) Steppin' Stone,Sky Saxon,0.49,0.83,0.031,0.67
Change Clothes,JAY-Z,0.895,0.628,0.0473,0.34
S.O.S.,Jonas Brothers,0.602,0.669,0.0635,0.74
Anglaise,Trio Mio,0.383,0.161,0.031,0.391
I Should Have Cheated,Keyshia Cole,0.436,0.533,0.0472,0.366
Lights And Sounds,Yellowcard,0.344,0.972,0.116,0.387
Misery Business,Paramore,0.517,0.906,0.0735,0.731
You Gets No Love,Faith Evans,0.749,0.677,0.125,0.917
Set It Off,Juvenile,0.695,0.595,0.194,0.746
The House Of Lost Hope,Joey Fehrenbach,0.741,0.806,0.0423,0.97
She Is The New Thing,The Horrors,0.494,0.889,0.0455,0.525
"Deus Passus, ""St. Luke Passion"": Das ist mein Leib (Soprano, Mezzo-Soprano, Alto, Tenor, Bass)",Wolfgang Rihm,0.194,0.00511,0.047,0.0321
Air War,Crystal Castles,0.769,0.806,0.0873,0.517
Sign of the Cross,Avantasia,0.537,0.917,0.0322,0.432
If I Never See Your Face Again,Maroon 5 Featuring Rihanna,0.745,0.867,0.0374,0.936
Suortuva - Folk Aesthetic Version,Tenhi,0.539,0.233,0.029,0.165
Subtext,John Foxx,0.109,0.00459,0.0338,0.0441
Rock In The Video Age,Jan Jelinek,0.668,0.397,0.0869,0.379
Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,0.775,0.897,0.106,0.719
Barrage of Noise,Hirax,0.371,0.738,0.299,0.336
Vagamarathin - Duet Version,M. G. Sreekumar,0.742,0.753,0.0723,0.64
Mr. Mom,Lonestar,0.505,0.842,0.0475,0.671
Ain't Nothing 'Bout You,Brooks & Dunn,0.676,0.753,0.0252,0.772
Ladies Love Country Boys,Trace Adkins,0.661,0.959,0.0408,0.96
You Complete Me,Keyshia Cole,0.681,0.666,0.0491,0.732
Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,0.826,0.67,0.169,0.794
Second Chance,Shinedown,0.46,0.796,0.0333,0.182
In The Ayer,Flo Rida Featuring will.i.am,0.83,0.746,0.0579,0.646
Stand Up,Ludacris Featuring Shawnna,0.697,0.891,0.342,0.684
Different World - 2015 Remaster,Iron Maiden,0.406,0.975,0.0937,0.602
The Portal Of Doom,Runemagick,0.281,0.392,0.0353,0.0697
Lip Gloss,Lil Mama,0.619,0.87,0.501,0.94
The Lamb,John Tavener,0.133,0.0312,0.0463,0.0361
Kielo - Folk Aesthetic Alternate Version,Tenhi,0.327,0.207,0.0336,0.0613
One Time,Justin Bieber,0.691,0.853,0.0372,0.762
Angel,Shaggy Featuring Rayvon,0.74,0.766,0.178,0.807
Inside Your Heaven,Carrie Underwood,0.38,0.596,0.0315,0.16
Come On Over Baby (All I Want Is You),Christina Aguilera,0.829,0.915,0.106,0.779
When I Said I Do,Clint Black,0.507,0.411,0.0276,0.184
All I Want To Do,Sugarland,0.709,0.725,0.0556,0.759
Made of Metal,Halford,0.42,0.941,0.0645,0.267
Jaan Meri Ja Rahi Sanam,Anuradha Paudwal,0.627,0.466,0.0294,0.74
Big Star,Kenny Chesney,0.655,0.807,0.0309,0.73
Hanging On,Cheyenne Kimball,0.573,0.934,0.0372,0.544
Hillbilly Deluxe,Brooks & Dunn,0.568,0.829,0.0461,0.551
Tommib,Squarepusher,0.347,0.143,0.0336,0.0396
You Belong With Me,Taylor Swift,0.687,0.783,0.0386,0.443
I Found The F,Broadcast,0.599,0.729,0.0262,0.215
Cowboys Like Us,George Strait,0.462,0.549,0.0308,0.261
Closer To Love,Mat Kearney,0.641,0.601,0.0337,0.553
Cada Dia - Remix Romy Ram,Tercer Cielo,0.539,0.731,0.164,0.804
The Feel Good Drag,Anberlin,0.342,0.677,0.0568,0.501
Round And Round,Jonell & Method Man,0.679,0.732,0.238,0.904
I Did It My Way,Revolution Renaissance,0.643,0.884,0.0398,0.751
Creo,Esenia,0.207,0.777,0.0438,0.162
No Room For Squares - Alternate Take / Remastered 2000 / Rudy Van Gelder Edition,Hank Mobley,0.558,0.755,0.0778,0.825
Paagal Tujhe Mein,Babul Supriyo,0.58,0.551,0.0459,0.533
The Lucky One,Faith Hill,0.677,0.864,0.0319,0.69
Through The Fire And Flames,DragonForce,0.113,0.951,0.129,0.139
Just Want You To Know,Backstreet Boys,0.709,0.555,0.0348,0.638
Play My Music,Jonas Brothers,0.471,0.875,0.087,0.759
Suspicions,Tim McGraw,0.599,0.733,0.0299,0.798
Rock My Wool,Dingobats,0.387,0.507,0.036,0.385
Parasitic,Psyclon Nine,0.589,0.851,0.0587,0.256
Some Girls (Dance With Women),JC Chasez Featuring Dirt McGirt,0.872,0.838,0.26,0.932
Get Like Me,David Banner Featuring Chris Brown,0.823,0.753,0.476,0.656
Where I'm From,Jason Michael Carroll,0.532,0.815,0.0392,0.546
Necta (Butterfly),Sashamon,0.887,0.528,0.0862,0.729
Like This,Mims,0.771,0.693,0.293,0.525
Twang,George Strait,0.561,0.956,0.0799,0.78
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,0.472,0.532,0.0319,0.152
DJ Play A Love Song,Jamie Foxx Featuring Twista,0.793,0.618,0.108,0.31
Shadow,Ashlee Simpson,0.462,0.738,0.0282,0.303
Atravessar,Jazz Juice,0.719,0.85,0.0416,0.687
Ancient War,Crypt Of Kerberos,0.171,0.948,0.123,0.0393
Just A Dream,Carrie Underwood,0.526,0.781,0.0369,0.358
