track_name,artists,danceability,energy,speechiness,valence,text
Numb,Linkin Park,0.496,0.863,0.0381,0.243,"I'm tired of being what you want me to be Feeling so faithless, lost under the surface I don't know what you're expecting of me Put under the pressure of walking in your shoes (Caught in the undertow, just caught in the undertow) Every step that I take is another mistake to you (Caught in the undertow, just caught in the undertow) [Chorus] I've become so numb, I can't feel you there Become so tired, so much more aware By becoming this all I want to do Is be more like me and be less like you Can't you see that you're smothering me? Holding too tightly, afraid to lose control 'Cause everything that you thought I would be Has fallen apart right in front of you (Caught in the undertow, just caught in the undertow) Every step that I take is another mistake to you (Caught in the undertow, just caught in the undertow) And every second I waste is more than I can take! [Chorus] And I know I may end up failing too But I know you were just like me with someone disappointed in you [Chorus] I've become so numb, I can't feel you there I'm tired of being what you want me to be I've become so numb, I can't feel you there I'm tired of being what you want me to be "
Only You Can Love Me This Way,Keith Urban,0.566,0.429,0.0286,0.325,"Well I know there's a reason And I know there's a rhyme We were meant to be together And that's why, We can roll with the punches We can stroll hand in hand And when I say it's forever You understand [Chorus] That you're always in my heart, You're always on my mind But when it all becomes too much, You're never far behind And there's no one that comes close to you Could ever take your place 'Cause only you can love me this way I could have turned a different corner I could have gone another place Then I'd of never had this feeling That I feel today, yeah [Chorus] Oh [Chorus] Oh Only you can love me this way. "
The Way You Love Me,Faith Hill,0.627,0.716,0.0352,0.734,"If I could grant you one wish I'd wish you could see the way you kiss Ooh, I love watching you baby When you're driving me crazy Ooh, I love the way you Love the way you love me There's nowhere else I'd rather be Ooo, to feel the way I feel with your arms around me I only wish that you could see the way you love me Woh woh woh woh the way you love me It's not right It's not fair What you're missing over there Someday I'll find a way to show you Just how lucky I am to know you Ooh, I love the way you Love the way you love me There's nowhere else I'd rather be Ooo, to feel the way I feel with your arms around me I only wish that you could see the way you love me Woh woh woh woh the way you love me You're the million reasons why There's love reflecting in my eyes Ooh, I love the way you Love the way you love me There's nowhere else I'd rather be Ooo, to feel the way I feel with your arms around me I only wish that you could see the way you love me Woh woh woh woh the way you love me Woh woh woh woh the way you love me Woh woh woh woh the way you love me Ooh, the way you love me The way you love me Oh yeah The way you love me Woh woh woh woh the way you love me Woh woh woh woh the way you love me Woh woh woh woh the way you love me "
If Today Was Your Last Day,Nickelback,0.485,0.911,0.0355,0.568,"My best friend gave me the best advice He said each day's a gift and not a given right Leave no stone unturned, leave your fears behind And try to take the path less traveled by That first step you take is the longest stride If today was your last day And tomorrow was too late Could you say goodbye to yesterday? Would you live each moment like your last? Leave old pictures in the past Donate every dime you have? If today was your last day (If today was your last day) Against the grain should be a way of life What's worth the prize is always worth the fight Every second counts 'cause there's no second try So live like you'll never live it twice Don't take the free ride in your own life [Chorus] If today was your last day And tomorrow was too late Could you say goodbye to yesterday? Would you live each moment like your last? Leave old pictures in the past Donate every dime you have? Would you call old friends you never see? Reminisce old memories Would you forgive your enemies? Would you find that one you're dreamin' of? Swear up and down to God above That you finally fall in love If today was your last day If today was your last day Would you make your mark by mending a broken heart? You know it's never too late to shoot for the stars Regardless of who you are So do whatever it takes Cause you can't rewind a moment in this life Let nothin' stand in your way Cause the hands of time are never on your side [Chorus] "
Mississippi Girl,Faith Hill,0.499,0.765,0.0521,0.665,"Yeah Well, it's a long way from Star, Mississippi To the big stage I'm singing on tonight And sometimes the butterflies still get me When I'm in the spotlight And some people seem to think that I've changed That I'm different than I was back then But in my soul, I know that I'm the same way That I've really always been [Chorus] 'Cause a Mississippi girl don't change her ways Just 'cause everybody knows her name Ain't big headed from a little bit of fame I still like wearing my old ball cap Riding my kids around piggy back They might know me all around the world But, y'all, I'm still a Mississippi girl Woo! Well, I spent a few weeks in California They put my face on the big movie screen But that don't mean I've forgotten where I came from That's just me chasing dreams 'Cause a Mississippi girl don't change her ways Just 'cause everybody knows her name Ain't big headed from a little bit of fame I still like wearing my old ball cap Riding my kids around piggy back They might know me all around the world But, y'all, I'm still a Mississippi girl Woo! 'Cause a Mississippi girl don't change her ways Just 'cause everybody knows her name Ain't big headed from a little bit of fame Still like wearing my old ball cap Riding my kids around piggy back They might know me all around this world But, y'all, I'm still a Mississippi, girl Mississippi girl! Oh oh Mississippi girl! Mississippi girl! Yeah, yeah, oh Oh oh oh oh oh Mississippi girl! Na, Na "
Escape,Enrique Iglesias,0.777,0.852,0.0295,0.877,"You can run you can hide But you can't escape my love You can run you can hide But you can't escape my love Here's how it goes You and me Up and down But maybe this time We'll get it right Worth the fight Cause love isn't something you can shake When it breaks all it takes is some trying If you feel like leaving I'm not going to make you stay But soon you'll be finding You can run You can hide But you can't escape my love You can run You can hide But you can't escape my love So if you go You should know It's hard to just forget the past So fast It was good It was bad, But it was real And that's all you have In the end our love mattered If you feel like leaving I'm not going to make you stay But soon you'll be finding You can run You can hide But you can't escape my love You can run You can hide But you can't escape my love You can run You can hide But you can't escape my love You can run You can hide But you can't escape my love Here's how it goes All it takes is some trying If you feel like leaving I'm not going to make you stay But soon you'll be finding You can run You can hide But you can't escape my love You can run You can hide But you can't escape my love "
Lights And Sounds,Yellowcard,0.344,0.972,0.116,0.387,"Hello you, how was the rest, You made it through but never the less, I got you out on a wire, you be love and ill be a liar. Tell it all and fill up the air, but make it loud cause nobodies there Nobodies there, nobodies there Stop, turn, take a look around, At all of the lights and sounds, Let them bring you in Slow, burn, let it all fade out And pull the curtain down, Wonder where you've been Make it new but stay in the lines, just let go, Keep it inside, smile big for everyone, even when you know what they've done. They gave you the end but not where to start, not how to build, how to tare it apart, So Tell it all and fill up the air, but make it loud cause nobodies there, Nobodies there, nobodies there Stop, turn, take a look around, At all of the lights and sounds, Let them bring you in Slow, burn, let it all fade out, And pull the curtain down, Wonder where you've been I've got a way to work this out, I got a way and you know how I've got a way to work this out, I got a way and you know how I've got a way to work this out, I got a way I've got a way to work this out, I got a way and you know how I've got a way to work this out, I got a way and you know how I've got a way to work this out, I got a way I've got a way to work this out, I got a way and you know how I've got a way to work this out, I got a way and you know how I've got a way to work this out, I got a way Stop, turn, take a look around, At all of the lights and sounds, Let them bring you in Slow, burn, let it all fade out And pull the curtain down, Wonder where you've been You've earned everything you've found and painted faces frown, I'll say I knew you when "
One Time,Justin Bieber,0.691,0.853,0.0372,0.762,"Me plus you, I'm a tell you one time Me plus you, I'm a tell you one time Me plus you, I'm a tell you one time One time One time When I met you girl my heart went knock knock knock Now them butterflies in my stomach won't stop stop And even though it's a struggle love is all we got So we gonna keep keep climbin' till the mountain top Your world is my world And my fight is your fight My breath is your breath And your heart(is my heart) Your my one love My one heart My one life for sure Let me tell you one time (girl I love, girl I love you) I'm a tell you one time (girl I love, girl I love you) And I'm a be your one guy You'll be my number one girl always makin' time for you I'ma tell you one time (girl I love, girl I love you) I'ma tell you one time (girl I love, girl I love you) You look so deep You know that it humbles me Your by my side and what troubles them don't trouble me Many have called but the chosen is you Whatever you want shawty I'll give it to you Your world is my world And my fight is your fight My breath is your breath And your heart (is my heart) Your my one love My one heart My one life for sure Let me tell you one time (girl I love, girl I love you) I'm a tell you one time (girl I love, girl I love you) And I'm a be your one guy You'll be my number one girl always makin' time for you I'ma tell you one time (girl I love, girl I love you) I'ma tell you one time (girl I love, girl I love you) Shawty right there She's got everything I need and I'm a tell her one time One time, one time Give you everything you need down to my last dime She makes me happy I know where I'll be Right by your side 'cause she is the one For me You're my one love My one heart My one life for sure Let me tell you one time (girl I love, girl I love you) I'm a tell you one time (girl I love, girl I love you) And I'm a be your one guy You'll be my number one girl always makin' time for you I'm a me tell you one time (girl I love, girl I love you) I'm a tell you one time (girl I love, girl I love you) Me plus you, I'm a tell you one time Me plus you, I'm a tell you one time Me plus you, I'm a tell you one time One time One time "
Big Star,Kenny Chesney,0.655,0.807,0.0309,0.73,"She was aware of her insecurities As she took the stage But she was convinced if she got up there That she'd be discovered some day So she belted it She hit the high notes fearlessly Oh, she melted them She brought them to their feet She was a big star At Banana Joe's Bar Where she sang karaoke every night She said if you work hard to get where you are It feels good in the hot spotlight She was a big star She made the local cable shows Where the camera fell in love with her face After a couple of weekends The groupies were crawling all over the place And she signed autographs Like she was Garth Brooks in a skirt And in the aftermath That small time town was hers She was a big star At Banana Joe's Bar Where she sang karaoke every night She said if you work hard to get where you are It feels good in the hot spotlight She was a big star Hey, she doesn't care anymore That her high school girlfriends cut her down The only thought she entertains is where they aren't And where she is now A few old neighbors swear they are certain She slept her way to the top She knows you don't get where you're goin' Unless you got something they ain't got So she sings tonight To twenty thousand plus And the young girls scream out loud Man that could be us She's a big star She eats caviar Just before she performs every night She says if you work hard to get where you are It feels good in the hot spotlight She's a big star "
You Belong With Me,Taylor Swift,0.687,0.783,0.0386,0.443,"You're on the phone with your girlfriend She's upset She's going off about something that you said 'Cause she doesn't get your humor like I do I'm in my room It's a typical Tuesday night I'm listening to the kind of music she doesn't like And she'll never know your story like I do' But she wears short skirts I wear T-shirts She's cheer captain And I'm on the bleachers Dreaming about the day when you wake up And find that what you're looking for has been here the whole time If you can see I'm the one who understands you Been here all along so why can't you see You belong with me You belong with me Walkin' the streets with you and your worn-out jeans I can't help thinking this is how it ought to be Laughing on a park bench, thinking to myself Hey isn't this easy And you've got a smile that could light up this whole town I haven't seen it in a while since she brought you down You say your fine I know you better then that Hey what you doing with a girl like that She wears high heels I wear sneakers She's cheer captain and I'm on the bleachers Dreaming about the day when you wake up And find that what what you're looking for has been here the whole time If you can see that I'm the one who understands you Been here all along so why can't you see You belong with me Standing by and waiting at your back door All this time how could you not know Baby, you belong with me You belong with me Oh, I remember you drivin' to my house in the middle of the night I'm the one who makes you laugh When you know you're about to cry And I know your favorite songs And you tell me about your dreams I think I know where you belong I think I know it's with me Can't you see that I'm the one who understands you Been here all along so why can't you see You belong with me Standing by and waiting at your back door All this time How could you not know Baby you belong with me You belong with me You belong with me Have you ever thought just maybe You belong with me You belong with me "
Cowboys Like Us,George Strait,0.462,0.549,0.0308,0.261,"I take off time to time With those crazy friends of mine Head out on steel horses With wheels and we ride We burn up that road to old Mexico Blend in with the desert Just we amigos And we roll Cowboys like us sure do have fun Racin' the wind, chasin' the sun Take the long way around back to square one Today we're just outlaws out on the run There'll be no regrets, no worries and such For cowboys like us We talk about livin', babies, and women All that we've lost and all we've been givin' We sing about true love, lie about things we ain't done Drink one more cold one, come mornin' get up And we roll [Chorus: x2] Cowboys like us "
The Lucky One,Faith Hill,0.677,0.864,0.0319,0.69,"So hot outside all I can wear Is these cut off overalls And sandals on my feet. But I emptied my pockets for a bus ticket Just so I could sit there on a broken seat I got no place I should go I got no worries you know Second or seventh street, It doesn't matter to me. [Chorus] 'Cause you're mine That's all I need to know The sunshine's everywhere we go It's so right 'cause I've got you to hold Every night, yeah I'm the lucky one. I'm the lucky one. Well I pulled back down to My upstreet apartment The air never works in that old place Twenty-seven I thought I'd Be further along Than just this rented space. I got no papers to read I got no cable TV And I got no places to be I got no people to meet 'Cause you're mine That's all I need to know The sunshine's everywhere we go It's so right 'cause I've got you to hold Every night, yeah I'm the lucky one. I'm the lucky one. I'm on a roll When I'm with you Don't stop me now I just can't lose 'Cause you're mine That's all I need to know The sunshine's everywhere we go It's so right 'cause I've got you to hold Every night 'Cause you're mine That's all I need to know The sunshine's everywhere we go It's so right 'cause I've got you to hold Every night, yeah I'm the lucky one I'm the lucky one, Yeah I'm the lucky one I'm the lucky one "
Just Want You To Know,Backstreet Boys,0.709,0.555,0.0348,0.638,"Looking at your picture from when we first met You gave me a smile that I could never forget And nothing I could do could protect me from you that night Wrapped around your finger, always on my mind The days would blend 'cause we stayed up all night Yeah, you and I were everything, everything to me [Chorus] I just want you to know that I've been fighting to let you go Some days I make it through and then there's nights that never end I wish that I could believe that there's a day you'll come back to me But still I have to say I would do it all again Just want you to know All the doors are closing I'm tryin' to move ahead And deep inside I wish it's me instead My dreams are empty from the day, the day you slipped away I just want you to know that I've been fighting to let you go Some days I make it through and then there's nights that never end I wish that I could believe that there's a day you'll come back to me But still I have to say I would do it all again Just want you to know That since I lost you, I lost myself No I can't fake it, there's no one else [Chorus: x2] "
Suspicions,Tim McGraw,0.599,0.733,0.0299,0.798,"I'm so glad that I met you, baby I'm so proud when we walk in the room I know it's crazy to worry like I do I get this feelin' that I'm losing you [Chorus] I get these suspicions Even though I know that you love me, baby And I really shouldn't feel this way (Ooo, suspicions) I can't help it, you're just so good lookin' I'm afraid somebody's gonna steal you away from me When I go out to a party with you You always turn every head in the room And I just know what's on every man's mind I try to fight it, but it gets me sometimes I get these suspicions Even though I know that you love me, baby And I really shouldn't feel this way (Ooo, suspicions) I can't help it, you're just so good lookin' I'm afraid somebody's gonna steal you away from me Oh baby, oh darlin' When I'm with you, I feel so satisfied The way you touch me when you lay by my side That look in your eyes when we make love Makes me hate myself for what I'm thinkin' of I get these suspicions Even though I know that you love me, baby And I really shouldn't feel this way (Ooo, suspicions) I can't help it, you're just so good lookin' I'm afraid somebody's gonna steal you away from me (Suspicions) Even though I know that you love me, baby And I really shouldn't feel this way (Ooo, suspicions) I can't help it, you're just so good lookin' I'm afraid somebody's gonna steal you away from me (Suspicions) Oh baby, oh darlin' (Suspicions) 'Cause I love her, 'cause I love her I love her, and she loves me (Suspicions) Ain't nobody gonna take my girl from me (Suspicions) (Ooo, suspicions) (Ooo, suspicions) "
The Pretender,Foo Fighters,0.433,0.959,0.0431,0.365,"Keep you in the dark You know they all pretend Keep you in the dark And so it all began Send in your skeletons Sing as their bones go marching in, again The need you buried deep The secrets that you keep are ever ready Are you ready? I'm finished making sense Done pleading ignorance That whole defense Spinning infinity, boy The wheel is spinning me It's never-ending, never-ending Same old story What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say I will never surrender? What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say that I'll never surrender? In time our soul untold I'm just another soul for sale, oh well The page is out of print We are not permanent We're temporary, temporary Same old story What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say that I'll never surrender? What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say that I'll never surrender? I'm the voice inside your head You refuse to hear I'm the face that you have to face Mirrored in your stare I'm what's left, I'm what's right I'm the enemy I'm the hand that will take you down Bring you to your knees So who are you? Yeah, who are you? Yeah, who are you? Yeah, who are you? Keep you in the dark You know they all pretend What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say I will never surrender? What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say that I'll never surrender? What if I say I'm not like the others? (Keep you in the dark) What if I say I'm not just another one of your plays? (You know they all pretend) You're the pretender (Who dares) What if I say I will never surrender? What if I say I'm not like the others? (Keep you in the dark) What if I say I'm not just another one of your plays? (You know they all pretend) You're the pretender (Who dares) What if I say I will never surrender? So who are you? Yeah, who are you? Yeah, who are you? "
Can't Get You Out Of My Head,Kylie Minogue,0.645,0.578,0.0459,0.459,La la la La la la la la La la la La la la la la I just can't get you out of my head Boy your loving is all I think about I just can't get you out of my head Boy it's more than I dare to think about La la la La la la la la I just can't get you out of my head Boy your loving is all I think about I just can't get you out of my head Boy it's more than I dare to think about Every night Every day Just to be there in your arms Won't you stay Won't you lay Stay forever and ever and ever and ever La la la La la la la la La la la La la la la la I just can't get you out of my head Boy your loving is all I think about I just can't get you out of my head Boy it's more than I dare to think about There's a dark secret in me Don't leave me locked in your heart Set me free Feel the need in me Set me free Stay forever and ever and ever and ever La la la La la la la la La la la La la la la la I just can't get you out of my head I just can't get you out of my head I just can't get you out of my head... 
Fighter,Christina Aguilera,0.435,0.92,0.201,0.45,"Well I thought I knew you, thinkin' that you were true Guess I, I couldn't trust called your bluff time is up 'Cause I've had enough You were there by my side, always down for the ride But your joy ride just came down in flames cause your greed sold me out in shame After all of the stealing and cheating you probably think that I hold resentment for you But uh uh, oh no, you're wrong 'Cause if it wasn't for all that you tried to do, I wouldn't know Just how capable I am to pull through So I want to say thank you Cause it [Chorus] 'Cause it makes me that much stronger Makes me work a little bit harder It makes me that much wiser So thanks for making me a fighter Made me learn a little bit faster Made my skin a little bit thicker Makes me that much smarter So thanks for making me a fighter Never saw it coming, all of your backstabbing Just so you could cash in on a good thing before I'd realize your game I heard you're goin' round playin', the victim now But don't even begin feeling I'm the one to blame 'Cause you dug your own grave After all of the fights and the lies cause you're wanting to haunt me But that won't work anymore, no more, It's over 'Cause if it wasn't for all of your torture I wouldn't know how to be this way now and never back down So I want to say thank you Cause it [Chorus] How could this man I thought I knew Turn out to be unjust so cruel Could only see the good in you Pretended not to know the truth You tried to hide your lies, disguise yourself Through living in denial But in the end you'll see You won't stop me I am a fighter and I I ain't goin' stop There is no turning back I've had enough [Chorus] You thought I would forget, But I remember 'Cause I remember I remember You thought I would forget, But I remember 'Cause I remember I remember [Chorus] "
Summer Love,Justin Timberlake,0.606,0.591,0.087,0.477,"Ridin' in the drop-top with the top down Saw you switchin' lanes, girl Pull up to the red light, lookin' right Come on, let me get your name, girl Tell me where your from, what you do, what you like Let me get your brain, girl And tell me how they that got that pretty little face On that pretty little frame girl But let me show you 'round Let me take you out Betcha we can have some fun, girl 'Cause we can it do fast, fast, slow Which ever way you wanna run, girl But let me buy you drinks, better yet rings Do it how you want it done, girl And who would of thought that you could be the one 'cause I [Chorus] I can't wait to fall in love with you You can't wait to fall in love with me This just can't be summer love, you'll see This just can't be summer love-o-v-e Come on, and let me show you 'round Let me take you out Betcha we can have some fun, girl 'Cause you could dress it up, we could dress it down Any way you want it done, girl Or we can stay home talkin' on the phone Rappin' till we see the sun, girl Do what I gotta do just gotta show you That I'm the one, girl Well, I'm a freak ya right each and every night I know how to do it insane, girl 'Cause I can make ya hot, make ya stop Make ya wanna say my name, girl Come on, baby, please 'cause I'm on my knees Can't get you off my brain, girl But who would of thought that you could be the one 'cause I [Chorus: x2] Summer's over for the both of us (Summer's over) But that doesn't mean we should give up on us (Don't give up) You're the one that I've been thinkin' of (You're the one) And I knew the day I met you you'd be the one [Chorus: x2] "
Keg In The Closet,Kenny Chesney,0.654,0.901,0.0477,0.73,"We had a dog named Bocephus living in the front yard He liked sleeping out on top of the car He drank beer out of a mason jar And he'd climb up on everyone in bed. A wide frame house in a college town A bunch of people always hanging around No real problems we needed to drown But we tried our best anyway. We went to class just to pass the time Back in '89. We had a keg in the closet, pizza on the floor Left over from the night before Where we were going we didn't really care We had all we ever wanted In that keg in the closet. This old guitar taught me how to score Right there on that Lambda Chi porch Mary Ann taught me a little more About wantin' what you can't have. Sweatshirts and flag football Spring breaks down in Panama For a while we had it all We never dreamed it wouldn't last. We went to class just to pass the time Back in '89. We had a keg in the closet, pizza on the floor Left over from the night before Where we were going we didn't really care We had all we ever wanted In that keg in the closet. We all kind of went our separate ways But I swear it seems like yesterday. Keg in the closet, pizza on the floor Left over from the night before Where we were going we didn't really care We had all we ever wanted In that keg in the closet... "
